"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1085","[Positive] EKMS_Partition_12: Add a partition with a long valid alphanumeric name","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","576","[Positive] EKMS_Owner_01: Add a new partition owner successfully","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1117","[Positive] EKMS_Partition_13: Add a partition with a number-only alphanumeric name","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","797","[Positive] EKMS_IP_08: List whitelisted IPs after multiple add and delete operations","firefox","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","717","[Negative] EKMS_Group_12: Fail to add a group with wrong admin password","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","869","[Positive] EKMS_Privilege_15: List all privileges to verify privilege inventory","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","628","[Negative] EKMS_Group_05: Fail to delete a non-existent group","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","757","[Negative] EKMS_Group_07: Fail to add a group with hyphen in name","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","645","[Positive] EKMS_Group_15: Add a group with a number-only valid alphanumeric name","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","1193","[Negative] EKMS_Privilege_13: Fail to grant privileges when target group is not an object group","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","1907","[Negative] EKMS_IP_12: Fail to add IP when ip field is missing from request","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","712","[Negative] EKMS_IP_11: Fail to add a restricted subnet IP address (192.168.2.25)","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","814","[Negative] EKMS_Privilege_08: Fail to grant privileges with source group name shorter than 4 characters","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","235","[Negative] EKMS_IP_05: Fail to remove a non-existent IP address","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","756","[Negative] EKMS_Owner_09: Fail to check owner credentials when password field is missing","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1426","[Negative] EKMS_Partition_11: Fail to verify partition with incorrect admin password","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","511","[Negative] EKMS_Owner_08: Fail to add owner with username shorter than 4 characters","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","506","[Positive] EKMS_IP_07: Blacklist (remove) an IP from the whitelist","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","628","[Negative] EKMS_Owner_10: Fail to add owner to a non-existent partition","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","2310","[Positive] EKMS_Partition_12: Add a partition with a long valid alphanumeric name","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","731","[Negative] EKMS_Privilege_06: Fail to grant privileges with underscore in source group name","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","168","[Positive] EKMS_IP_04: List all whitelisted IP addresses","chromium","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","569","[Negative] EKMS_Partition_11: Fail to verify partition with incorrect admin password","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","692","[Negative] EKMS_Group_13: Fail to delete group with mismatched group type (user_group as object)","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","920","[Negative] EKMS_Owner_07: Fail to add owner with hyphen in username","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1044","[Negative] EKMS_Privilege_11: Fail to grant privileges with wrong admin password","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","1509","[Negative] EKMS_IP_11: Fail to add a restricted subnet IP address (192.168.2.25)","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","596","[Positive] EKMS_IP_03: Remove a whitelisted IP address (blacklist it)","chromium","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","572","[Positive] EKMS_Owner_03: Verify partition owner credentials successfully","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","894","[Positive] EKMS_Partition_13: Add a partition with a number-only alphanumeric name","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","803","[Negative] EKMS_Privilege_07: Fail to grant privileges with hyphen in target group name","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","648","[Negative] EKMS_Owner_04: Fail to add a duplicate owner (already_exists sentinel)","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","540","[Positive] EKMS_Group_01: Add a user group to a partition successfully","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","705","[Negative] EKMS_Owner_11: Fail to add owner with incorrect admin password","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","861","[Negative] EKMS_Group_04: Fail to add a duplicate group (already_exists sentinel)","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","480","[Positive] EKMS_Owner_13: Deactivate a partition owner account","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","862","[Positive] EKMS_Group_11: Add a group with a long valid alphanumeric name","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","2486","[Negative] EKMS_Partition_14: Fail to delete partition with active groups (without forceDelete)","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","567","[Negative] EKMS_Group_07: Fail to add a group with hyphen in name","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","678","[Negative] EKMS_Privilege_10: Fail to grant privileges with an invalid privilege name","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","601","[Negative] EKMS_Owner_05: Fail to delete a non-existent owner","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","851","[Negative] EKMS_Partition_04: Fail to add a duplicate partition (already_exists sentinel)","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","521","[Negative] EKMS_Partition_09: Fail to add partition with name shorter than 4 characters","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","822","[Positive] EKMS_Owner_13: Deactivate a partition owner account","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","827","[Negative] EKMS_IP_12: Fail to add IP when ip field is missing from request","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","289","[Positive] EKMS_Partition_01: Add a new partition with valid alphanumeric name","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","731","[Positive] EKMS_Privilege_03: List all active privileges between source and target groups","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","725","[Negative] EKMS_Privilege_12: Fail to grant privileges on a non-existent partition","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","508","[Positive] EKMS_Group_11: Add a group with a long valid alphanumeric name","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","2066","[Negative] EKMS_Privilege_07: Fail to grant privileges with hyphen in target group name","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","706","[Positive] EKMS_Privilege_01: Grant privileges between valid source and target groups","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","669","[Negative] EKMS_Partition_05: Fail to delete a non-existent partition","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","910","[Positive] EKMS_Group_01: Add a user group to a partition successfully","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","712","[Positive] EKMS_Privilege_02: Revoke privileges between source and target groups","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","508","[Negative] EKMS_Owner_09: Fail to check owner credentials when password field is missing","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","756","[Negative] EKMS_Group_06: Fail to add a group with special character (@) in name","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","579","[Positive] EKMS_Group_14: List all groups to verify group inventory","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","996","[Positive] EKMS_Owner_12: Activate a partition owner account","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1197","[Positive] EKMS_Partition_10: Verify partition credentials with valid admin password","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","988","[Negative] EKMS_Privilege_04: Fail to grant duplicate privileges (already_exists sentinel)","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","995","[Positive] EKMS_IP_03: Remove a whitelisted IP address (blacklist it)","firefox","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","661","[Positive] EKMS_IP_15: Verify whitelist listing returns correct response after all operations","firefox","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","858","[Negative] EKMS_Partition_06: Fail to add partition with underscore in name (non-alphanumeric)","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","974","[Negative] EKMS_Group_05: Fail to delete a non-existent group","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","464","[Positive] EKMS_Owner_14: Add a partition owner with a long valid alphanumeric username","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","525","[Negative] EKMS_Group_08: Fail to add a group with name shorter than 4 characters","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","598","[Negative] EKMS_Owner_06: Fail to add owner with space in username","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1093","[Positive] EKMS_Partition_02: Delete an existing partition successfully","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","863","[Negative] EKMS_IP_14: Fail when the txn field is missing from the request","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","810","[Positive] EKMS_Group_03: List all groups in a partition","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","600","[Positive] EKMS_Group_03: List all groups in a partition","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","740","[Negative] EKMS_Partition_07: Fail to add partition with dot in name","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","747","[Negative] EKMS_Partition_14: Fail to delete partition with active groups (without forceDelete)","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","711","[Positive] EKMS_IP_06: Add a second valid IP address to whitelist","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","226","[Negative] EKMS_IP_09: Fail to add restricted loopback IP address 127.0.0.1","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","234","[Negative] EKMS_IP_05: Fail to remove a non-existent IP address","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","965","[Positive] EKMS_Owner_15: Add a partition owner with a number-only valid username","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","875","[Negative] EKMS_Privilege_14: Fail to grant privileges when source group is not a user group","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","508","[Negative] EKMS_Group_12: Fail to add a group with wrong admin password","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","667","[Negative] EKMS_Partition_06: Fail to add partition with underscore in name (non-alphanumeric)","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","755","[Negative] EKMS_Owner_08: Fail to add owner with username shorter than 4 characters","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","528","[Positive] EKMS_Group_10: Delete an object type group from a partition","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","632","[Positive] EKMS_Owner_03: Verify partition owner credentials successfully","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","605","[Negative] EKMS_IP_14: Fail when the txn field is missing from the request","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","1089","[Negative] EKMS_Owner_10: Fail to add owner to a non-existent partition","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","932","[Negative] EKMS_Group_08: Fail to add a group with name shorter than 4 characters","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","549","[Positive] EKMS_Partition_03: List all partitions successfully","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","690","[Positive] EKMS_Privilege_15: List all privileges to verify privilege inventory","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","679","[Negative] EKMS_IP_13: Fail with an invalid action enum value in request","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","856","[Positive] EKMS_Owner_02: Delete an existing partition owner successfully","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1099","[Positive] EKMS_Owner_14: Add a partition owner with a long valid alphanumeric username","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","237","[Positive] EKMS_IP_04: List all whitelisted IP addresses","firefox","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","246","[Positive] EKMS_Partition_01: Add a new partition with valid alphanumeric name","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","734","[Negative] EKMS_Privilege_11: Fail to grant privileges with wrong admin password","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","828","[Positive] EKMS_IP_07: Blacklist (remove) an IP from the whitelist","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","985","[Positive] EKMS_Privilege_03: List all active privileges between source and target groups","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","773","[Negative] EKMS_Group_06: Fail to add a group with special character (@) in name","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","626","[Positive] EKMS_Privilege_01: Grant privileges between valid source and target groups","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","837","[Positive] EKMS_Partition_03: List all partitions successfully","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","2192","[Negative] EKMS_Privilege_08: Fail to grant privileges with source group name shorter than 4 characters","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","777","[Negative] EKMS_IP_10: Fail to add restricted broadcast IP address 255.255.255.255","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","7236","[Negative] EKMS_Partition_05: Fail to delete a non-existent partition","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","1086","[Positive] EKMS_IP_15: Verify whitelist listing returns correct response after all operations","chromium","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","1623","[Negative] EKMS_Privilege_10: Fail to grant privileges with an invalid privilege name","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","562","[Positive] EKMS_Group_02: Delete a user group from a partition successfully","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","284","[Negative] EKMS_IP_02: Fail to add duplicate IP address while still whitelisted","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","736","[Negative] EKMS_Privilege_13: Fail to grant privileges when target group is not an object group","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","4004","[Negative] EKMS_IP_10: Fail to add restricted broadcast IP address 255.255.255.255","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","654","[Positive] EKMS_Owner_12: Activate a partition owner account","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","681","[Negative] EKMS_Partition_07: Fail to add partition with dot in name","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","932","[Negative] EKMS_Owner_06: Fail to add owner with space in username","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1303","[Positive] EKMS_Group_09: Add an object type group to a partition","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","676","[Negative] EKMS_Privilege_05: Fail to revoke privileges for a non-existent source group","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","514","[Negative] EKMS_Owner_04: Fail to add a duplicate owner (already_exists sentinel)","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","610","[Positive] EKMS_Group_09: Add an object type group to a partition","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","671","[Negative] EKMS_Partition_09: Fail to add partition with name shorter than 4 characters","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","345","[Negative] EKMS_IP_09: Fail to add restricted loopback IP address 127.0.0.1","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","898","[Positive] EKMS_IP_01: Add a valid IP address to whitelist","chromium","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","1254","[Negative] EKMS_Privilege_05: Fail to revoke privileges for a non-existent source group","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","1182","[Negative] EKMS_Privilege_06: Fail to grant privileges with underscore in source group name","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","589","[Negative] EKMS_IP_13: Fail with an invalid action enum value in request","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","1297","[Positive] EKMS_IP_08: List whitelisted IPs after multiple add and delete operations","chromium","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","783","[Negative] EKMS_Partition_08: Fail to add partition with space in name","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","559","[Positive] EKMS_Owner_01: Add a new partition owner successfully","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","758","[Negative] EKMS_Owner_07: Fail to add owner with hyphen in username","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1228","[Positive] EKMS_Partition_02: Delete an existing partition successfully","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","923","[Positive] EKMS_Group_10: Delete an object type group from a partition","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","495","[Positive] EKMS_Group_15: Add a group with a number-only valid alphanumeric name","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","637","[Positive] EKMS_Owner_15: Add a partition owner with a number-only valid username","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","767","[Positive] EKMS_Privilege_02: Revoke privileges between source and target groups","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","699","[Negative] EKMS_Privilege_14: Fail to grant privileges when source group is not a user group","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","710","[Positive] EKMS_Partition_15: List partitions to verify static partition inventory","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","495","[Negative] EKMS_Owner_05: Fail to delete a non-existent owner","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","532","[Positive] EKMS_Owner_02: Delete an existing partition owner successfully","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","1130","[Negative] EKMS_Privilege_04: Fail to grant duplicate privileges (already_exists sentinel)","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","1060","[Positive] EKMS_Partition_15: List partitions to verify static partition inventory","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","935","[Negative] EKMS_Partition_08: Fail to add partition with space in name","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","989","[Positive] EKMS_Partition_10: Verify partition credentials with valid admin password","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","712","[Negative] EKMS_Group_04: Fail to add a duplicate group (already_exists sentinel)","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","536","[Negative] EKMS_Partition_04: Fail to add a duplicate partition (already_exists sentinel)","chromium","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","623","[Positive] EKMS_Group_02: Delete a user group from a partition successfully","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","676","[Negative] EKMS_Privilege_09: Fail to grant privileges with target group name shorter than 4 characters","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","2035","[Positive] EKMS_IP_01: Add a valid IP address to whitelist","firefox","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","1936","[Negative] EKMS_Privilege_09: Fail to grant privileges with target group name shorter than 4 characters","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","1302","[Positive] EKMS_IP_06: Add a second valid IP address to whitelist","chromium","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","348","[Negative] EKMS_IP_02: Fail to add duplicate IP address while still whitelisted","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","498","[Positive] EKMS_Group_14: List all groups to verify group inventory","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","774","[Negative] EKMS_Owner_11: Fail to add owner with incorrect admin password","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
"","555","[Negative] EKMS_Group_13: Fail to delete group with mismatched group type (user_group as object)","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","1053","[Negative] EKMS_Privilege_12: Fail to grant privileges on a non-existent partition","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
